,GEOID,pop_tot,state,county,tract,block group
0,1500000US360470133001,895.0,36,047,013300,1
1,1500000US360470133004,917.0,36,047,013300,4
2,1500000US360470134003,1566.0,36,047,013400,3
3,1500000US360470135003,1389.0,36,047,013500,3
4,1500000US360470136003,1448.0,36,047,013600,3
5,1500000US360470137001,1408.0,36,047,013700,1
6,1500000US360470138001,1513.0,36,047,013800,1
7,1500000US360470139001,747.0,36,047,013900,1
8,1500000US360470139004,859.0,36,047,013900,4
9,1500000US360470141011,968.0,36,047,014101,1
10,1500000US360470142001,1006.0,36,047,014200,1
11,1500000US360470149023,1096.0,36,047,014902,3
12,1500000US360470151001,1115.0,36,047,015100,1
13,1500000US360470151003,1388.0,36,047,015100,3
14,1500000US360470152002,972.0,36,047,015200,2
15,1500000US360470153002,745.0,36,047,015300,2
16,1500000US360470154001,10.0,36,047,015400,1
17,1500000US360470155003,910.0,36,047,015500,3
18,1500000US360470157002,773.0,36,047,015700,2
19,1500000US360470159001,1175.0,36,047,015900,1
20,1500000US360470159004,1014.0,36,047,015900,4
21,1500000US360470160001,1488.0,36,047,016000,1
22,1500000US360470160003,746.0,36,047,016000,3
23,1500000US360470161002,0.0,36,047,016100,2
24,1500000US360470162001,1081.0,36,047,016200,1
25,1500000US360470163002,1413.0,36,047,016300,2
26,1500000US360470164000,0.0,36,047,016400,0
27,1500000US360470169005,642.0,36,047,016900,5
28,1500000US360470170003,1286.0,36,047,017000,3
29,1500000US360470171002,711.0,36,047,017100,2
30,1500000US360470172001,1867.0,36,047,017200,1
31,1500000US360470174001,1241.0,36,047,017400,1
32,1500000US360470176000,0.0,36,047,017600,0
33,1500000US360470177001,0.0,36,047,017700,1
34,1500000US360470179001,916.0,36,047,017900,1
35,1500000US360470180001,1784.0,36,047,018000,1
36,1500000US360470181002,881.0,36,047,018100,2
37,1500000US360470182001,841.0,36,047,018200,1
38,1500000US360470183001,1367.0,36,047,018300,1
39,1500000US360470184001,1185.0,36,047,018400,1
40,1500000US360470185012,942.0,36,047,018501,2
41,1500000US360470186001,1398.0,36,047,018600,1
42,1500000US360470188001,1150.0,36,047,018800,1
43,1500000US360470194003,1002.0,36,047,019400,3
44,1500000US360470195003,1701.0,36,047,019500,3
45,1500000US360470196002,1212.0,36,047,019600,2
46,1500000US360470197002,640.0,36,047,019700,2
47,1500000US360470197004,972.0,36,047,019700,4
48,1500000US360470199001,768.0,36,047,019900,1
49,1500000US360470199004,1452.0,36,047,019900,4
50,1500000US360470201001,622.0,36,047,020100,1
51,1500000US360470201004,1050.0,36,047,020100,4
52,1500000US360470203001,955.0,36,047,020300,1
53,1500000US360470204002,794.0,36,047,020400,2
54,1500000US360470205003,1196.0,36,047,020500,3
55,1500000US360470206002,1179.0,36,047,020600,2
56,1500000US360470207003,1058.0,36,047,020700,3
57,1500000US360470208003,1404.0,36,047,020800,3
58,1500000US360470210003,1094.0,36,047,021000,3
59,1500000US360470216002,1217.0,36,047,021600,2
60,1500000US360470217002,2345.0,36,047,021700,2
61,1500000US360470218003,773.0,36,047,021800,3
62,1500000US360470219003,1814.0,36,047,021900,3
63,1500000US360470220002,966.0,36,047,022000,2
64,1500000US360470221001,1581.0,36,047,022100,1
65,1500000US360470222001,1436.0,36,047,022200,1
66,1500000US360470224001,1346.0,36,047,022400,1
67,1500000US360470224004,1183.0,36,047,022400,4
68,1500000US360470227001,586.0,36,047,022700,1
69,1500000US360470227004,1513.0,36,047,022700,4
70,1500000US360470228003,645.0,36,047,022800,3
71,1500000US360470229002,1046.0,36,047,022900,2
72,1500000US360470230001,2091.0,36,047,023000,1
73,1500000US360470231001,1436.0,36,047,023100,1
74,1500000US360470232001,1266.0,36,047,023200,1
75,1500000US360470238002,1835.0,36,047,023800,2
76,1500000US360470240002,2060.0,36,047,024000,2
77,1500000US360470241002,1256.0,36,047,024100,2
78,1500000US360470243001,1458.0,36,047,024300,1
79,1500000US360470243003,970.0,36,047,024300,3
80,1500000US360470244003,1623.0,36,047,024400,3
81,1500000US360470245003,690.0,36,047,024500,3
82,1500000US360470246002,1197.0,36,047,024600,2
83,1500000US360470247002,1026.0,36,047,024700,2
84,1500000US360470249001,1150.0,36,047,024900,1
85,1500000US360470249004,561.0,36,047,024900,4
86,1500000US360470251001,1086.0,36,047,025100,1
87,1500000US360470251003,1037.0,36,047,025100,3
88,1500000US360470252003,1766.0,36,047,025200,3
89,1500000US360470253002,1705.0,36,047,025300,2
90,1500000US360470254002,513.0,36,047,025400,2
91,1500000US360470261002,746.0,36,047,026100,2
92,1500000US360470261005,1181.0,36,047,026100,5
93,1500000US360470263001,2047.0,36,047,026300,1
94,1500000US360470264002,969.0,36,047,026400,2
95,1500000US360470265001,1314.0,36,047,026500,1
96,1500000US360470265004,712.0,36,047,026500,4
97,1500000US360470266003,1051.0,36,047,026600,3
98,1500000US360470267003,1099.0,36,047,026700,3
99,1500000US360470268002,1003.0,36,047,026800,2
100,1500000US360470269001,1354.0,36,047,026900,1
101,1500000US360470270001,917.0,36,047,027000,1
102,1500000US360470271001,1724.0,36,047,027100,1
103,1500000US360470272002,1868.0,36,047,027200,2
104,1500000US360470273002,691.0,36,047,027300,2
